,virus_id,title_bg,title,link,virus_image,image,num_rep,date_iso,media,author,media_matches,first_time,minutes_since_first,media_rank,day,time
1,501,Защо мълчи Кьовеши? Европрокурор Теодора Георгиева вкарва БГ престъпността в ЕС,Why is Kovesi silent? European Prosecutor Teodora Georgieva brings Bulgarian crime into the EU,https://svobodnoslovo.eu/bulgaria/zashto-malchi-kyoveshi-evroprokuror-teodora-georgieva-vkarva-bg-prestapnostta-v-es/157437,501.jpg,https://svobodnoslovo.eu/media/1/2025/03/15/117906/960x540.jpg?timer=1742058862,5,2025-03-15 17:14:16,svobodnoslovo.eu,Iva Ivanova,"pero.bg,razkritia.com,kliuki.net,informiran.net,crimesbg.com",2025-03-15 17:14:16,0,13,2025-03-15,17:14
2,501,Защо мълчи Кьовеши? Европрокурор Теодора Георгиева вкарва БГ престъпността в ЕС,Why is Kovesi silent? European Prosecutor Teodora Georgieva brings Bulgarian crime into the EU,https://crimesbg.com/novini/zashto-malchi-kyoveshi-evroprokuror-teodora-georgieva-vkarva-bg-prestapnostta-v-es-5/157440,501.jpg,https://crimesbg.com/media/4/2025/03/15/117915/320x180.jpg?timer=1742058922,5,2025-03-15 17:15:53,crimesbg.com,Iva Ivanova,"pero.bg,razkritia.com,kliuki.net,informiran.net,svobodnoslovo.eu",2025-03-15 17:14:16,1.616666667,2,2025-03-15,17:15
3,501,Защо мълчи Кьовеши? Европрокурор Теодора Георгиева вкарва БГ престъпността в ЕС,Why is Kovesi silent? European Prosecutor Teodora Georgieva brings Bulgarian crime into the EU,https://informiran.net/balgariya/zashto-malchi-kyoveshi-evroprokuror-teodora-georgieva-vkarva-bg-prestapnostta-v-es,501.jpg,https://informiran.net/media/1/2025/03/15/82279/320x180.jpg?timer=1742059028,5,2025-03-15 17:17:25,informiran.net,Галя Иванова,"pero.bg,razkritia.com,kliuki.net,crimesbg.com,svobodnoslovo.eu",2025-03-15 17:14:16,3.15,3,2025-03-15,17:17
4,501,Защо мълчи Кьовеши? Европрокурор Теодора Георгиева вкарва БГ престъпността в ЕС,Why is Kovesi silent? European Prosecutor Teodora Georgieva brings Bulgarian crime into the EU,https://kliuki.net/skandali/zashto-malchi-kyoveshi-evroprokuror-teodora-georgieva-vkarva-bg-prestapnostta-v-es-3/240549,501.jpg,https://kliuki.net/media/5/2025/03/15/518902/320x180.jpg?timer=1742059146,5,2025-03-15 17:19:33,kliuki.net,Иванина Николова,"pero.bg,razkritia.com,informiran.net,crimesbg.com,svobodnoslovo.eu",2025-03-15 17:14:16,5.283333333,6,2025-03-15,17:19
5,501,Защо мълчи Кьовеши? Европрокурор Теодора Георгиева вкарва БГ престъпността в ЕС,Why is Kovesi silent? European Prosecutor Teodora Georgieva brings Bulgarian crime into the EU,https://razkritia.com/scandalni/zashto-malchi-kyoveshi-evroprokuror-teodora-georgieva-vkarva-bg-prestapnostta-v-es-2/240548,501.jpg,https://razkritia.com/media/4/2025/03/15/518899/320x180.jpg?timer=1742059120,5,2025-03-15 19:18:00,razkritia.com,Иванина Николова,"pero.bg,kliuki.net,informiran.net,crimesbg.com,svobodnoslovo.eu",2025-03-15 17:14:16,123.7333333,12,2025-03-15,19:18
6,501,Защо мълчи Кьовеши? Европрокурор Теодора Георгиева…,Why is Kovesi silent? European Prosecutor Teodora Georgieva…,https://pero.bg/2025/03/16/%d0%b7%d0%b0%d1%89%d0%be-%d0%bc%d1%8a%d0%bb%d1%87%d0%b8-%d0%ba%d1%8c%d0%be%d0%b2%d0%b5%d1%88%d0%b8-%d0%b5%d0%b2%d1%80%d0%be%d0%bf%d1%80%d0%be%d0%ba%d1%83%d1%80%d0%be%d1%80-%d1%82%d0%b5%d0%be%d0%b4/,501.jpg,NA,5,2025-03-16 17:54:00,pero.bg,Pero.bg,"razkritia.com,kliuki.net,informiran.net,crimesbg.com,svobodnoslovo.eu",2025-03-16 17:54:00,1479.733333,11,2025-03-16,17:54
7,583,Как България изпусна украински мафиот №1 Андрей Неделя,How Bulgaria let go of Ukrainian mafia boss No. 1 Andrey Nedelya,https://crimesbg.com/novini/kak-balgariya-izpusna-ukrainski-mafiot-1-andrey-nedelya/159879,583.jpg,https://crimesbg.com/media/4/2025/04/12/121251/320x180.jpg?timer=1744411460,5,2025-04-12 09:30:00,crimesbg.com,Iva Ivanova,"razkritia.com,kliuki.ws,informiran.net,kliuki.net,svobodnoslovo.eu",2025-04-12 09:30:00,0,2,2025-04-12,09:30
8,583,Как България изпусна украински мафиот №1 Андрей Неделя,How Bulgaria let go of Ukrainian mafia boss No. 1 Andrey Nedelya,https://kliuki.ws/balgariya/kak-balgariya-izpusna-ukrainski-mafiot-1-andrey-nedelya-4/242128,583.jpg,https://kliuki.ws/media/6/2025/04/12/521727/480x270.jpg?timer=1744411939,5,2025-04-12 09:50:00,kliuki.ws,Иванина Николова,"razkritia.com,informiran.net,kliuki.net,svobodnoslovo.eu,crimesbg.com",2025-04-12 09:30:00,20,7,2025-04-12,09:50
9,583,Как България изпусна украински мафиот №1 Андрей Неделя,How Bulgaria let go of Ukrainian mafia boss No. 1 Andrey Nedelya,https://informiran.net/balgariya/kak-balgariya-izpusna-ukrainski-mafiot-1-andrey-nedelya,583.jpg,https://informiran.net/media/1/2025/04/12/82865/320x180.jpg?timer=1744411704,5,2025-04-12 09:50:00,informiran.net,Галя Иванова,"razkritia.com,kliuki.ws,kliuki.net,svobodnoslovo.eu,crimesbg.com",2025-04-12 09:30:00,20,3,2025-04-12,09:50
10,583,Как България изпусна украински мафиот №1 Андрей Неделя,How Bulgaria let go of Ukrainian mafia boss No. 1 Andrey Nedelya,https://kliuki.net/skandali/kak-balgariya-izpusna-ukrainski-mafiot-1-andrey-nedelya-2/242127,583.jpg,https://kliuki.net/media/5/2025/04/12/521726/320x180.jpg?timer=1744411857,5,2025-04-12 09:50:00,kliuki.net,Иванина Николова,"razkritia.com,kliuki.ws,informiran.net,svobodnoslovo.eu,crimesbg.com",2025-04-12 09:30:00,20,6,2025-04-12,09:50
